NTA,Date,NTA_count,Jobs,Savings,SumJobs,MeanSavings
Carroll Gardens-Columbia Street-Red Hook,07/10/2014,11.0,,17769.83,0.0,184683.94545454546
Steinway,01/10/2011,7.0,,583542.01,20.0,255769.45285714284
East Williamsburg,10/30/2018,11.0,,39258.98,0.0,143369.4790909091
Sunset Park West,05/15/2015,48.0,,76226.25,0.0,139256.485
Hunts Point,10/31/2017,13.0,,50189.76,12.0,397635.44923076924
Sunset Park West,07/11/2008,48.0,,36644.27,0.0,139256.485
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,08/06/2018,10.0,,56547.18,0.0,437390.5
Bushwick South,12/09/2008,10.0,10.0,965843.58,10.0,307800.03099999996
Bushwick South,12/05/2017,10.0,,3585.4,10.0,307800.03099999996
Crown Heights North,01/26/2016,9.0,,12287.32,0.0,17168.966666666667
